type,amount,newbalanceOrig,newbalanceDest,isFraud
0,23303.97,2309453.07,484137.19,0
1,189644.37,0.0,1659918.84,0
1,350348.12,0.0,18067692.63,0
1,207945.46,0.0,891331.49,0
3,40820.71,49353.29,5045670.8,0
1,65472.35,0.0,163217.69,0
1,309542.01,0.0,719585.06,0
1,163449.91,0.0,2166663.67,0
1,16381.98,15267.02,3296203.2,0
1,104143.23,0.0,932954.07,0
0,496.66,13927346.72,275216.86,0
2,1169.33,54620.67,28208.29,0
1,197791.99,0.0,656947.53,0
1,170407.04,367123.96,2728353.97,0
1,80720.28,0.0,1084012.16,0
1,90192.62,0.0,90192.62,0
3,9706353.23,0.0,39712018.34,0
1,360543.72,0.0,1433577.26,0
1,71767.52,0.0,227305.47,0
1,220471.21,0.0,1599489.17,0
1,18610.02,477200.98,456595.57,0
1,35255.77,0.0,7813233.45,0
1,190271.48,0.0,1199241.19,0
3,154011.64,0.0,1376621.5,0
0,69621.39,82078.39,2533459.53,0
3,884004.4,0.0,5168059.2,0
0,240072.1,4497757.14,18874.11,0
3,4722614.2,0.0,10184505.01,0
1,182144.16,0.0,2293968.84,0
2,3415.48,45469.52,19635.76,0
1,213299.36,0.0,335217.63,0
1,201710.75,0.0,11086470.81,0
3,151381.74,0.0,151381.74,0
2,12207.73,0.0,605192.84,0
1,368.15,146586.85,863640.98,0
0,235355.8,2455028.12,981512.16,0
1,148585.52,0.0,596945.42,0
1,18206.41,265957.22,757595.44,0
1,58254.47,152664.53,58254.47,0
1,168391.36,60637.64,168391.36,0
1,167207.44,0.0,401632.13,0
3,244224.94,0.0,283038.54,0
1,125497.34,0.0,2069057.33,0
1,62586.0,0.0,18691626.75,0
1,416635.98,0.0,2246617.63,0
1,39575.78,0.0,301784.0,0
1,58903.04,0.0,4888162.12,0
0,244150.46,20391530.83,279804.74,0
3,1452591.62,0.0,3345352.74,0
3,15814790.9,0.0,33863336.21,0
3,160846.89,0.0,160846.89,0
0,6731.88,22712033.75,3002008.65,0
1,116817.94,0.0,430601.87,0
0,48565.87,55144.87,2814949.81,0
3,165258.69,0.0,218187.12,0
1,216411.29,0.0,292665.94,0
1,47556.04,227247.33,211285.03,0
1,176527.3,0.0,10549802.14,0
0,131583.19,222390.19,863152.58,0
2,4257.98,16961.02,1994587.49,0
1,311433.67,0.0,1136013.99,0
0,173255.09,4905561.07,101378.49,0
1,265447.45,0.0,648848.27,0
1,195435.19,0.0,659774.23,0
0,394601.88,1017662.92,740707.49,0
3,18125.07,0.0,123730.16,0
1,250962.79,0.0,535694.19,0
1,247840.24,0.0,769826.59,0
1,286935.12,0.0,582749.21,0
1,269735.45,0.0,1316389.97,0
1,125943.78,0.0,303848.39,0
3,132182.2,0.0,4230844.36,0
1,176448.33,0.0,7262999.86,0
1,17688.28,0.0,10353353.6,0
1,257638.4,0.0,535317.62,0
1,274610.81,0.0,563529.33,0
1,200367.17,0.0,415219.23,0
0,633313.85,1855976.04,186594.67,0
0,235907.66,4765256.01,392780.04,0
1,190065.57,0.0,14774666.83,0
1,125647.32,0.0,1517497.39,0
0,67528.21,3754083.58,38223.56,0
3,685337.02,0.0,768638.09,0
0,177216.24,1871101.67,1067006.8,0
1,156468.19,0.0,1584129.13,0
1,92066.49,0.0,698791.11,0
1,32749.85,0.0,32749.85,0
1,61279.52,0.0,1898859.98,0
0,264057.4,335866.4,3254450.57,0
1,48104.41,154153.44,225483.51,0
1,123761.71,0.0,1094661.65,0
1,394834.56,0.0,9716362.09,0
1,140348.86,153981.14,150770.31,0
1,63238.72,0.0,63238.72,0
0,273070.74,7946743.97,882461.0,0
1,163327.47,0.0,163327.47,0
1,140905.72,0.0,1252258.41,0
1,103626.48,0.0,103626.48,0
1,108778.88,120103.66,1684089.43,0
0,233585.05,247011.05,4106840.67,0
1,162177.34,0.0,162177.34,0
1,183572.87,40546.13,183572.87,0
1,469541.66,0.0,3858765.58,0
0,13315.93,241934.93,266980.5,0
1,100032.1,7465.9,122268.19,0
3,92660.19,0.0,978895.67,0
1,172920.12,0.0,540385.25,0
1,379879.22,0.0,1699302.54,0
1,119552.18,0.0,193143.25,0
1,252766.32,0.0,1622844.36,0
1,160228.82,0.0,1066441.35,0
1,227783.04,282992.96,2804319.33,0
1,44308.51,0.0,1971358.67,0
0,121556.77,2063450.43,599140.39,0
0,271221.16,3962432.95,760798.21,0
1,367647.66,0.0,1889606.64,0
1,125458.44,0.0,2376030.6,0
1,968653.8,0.0,3589109.08,0
1,336063.69,0.0,13602752.71,0
3,141940.58,0.0,10641722.35,0
1,137339.25,0.0,1717452.94,0
1,59645.73,0.0,485633.3,0
1,34354.23,0.0,93083.27,0
0,246209.03,2078942.8,753398.92,0
1,632583.13,0.0,1572310.87,0
1,197265.57,0.0,197265.57,0
1,15462.01,4158.99,387247.92,0
2,180.74,0.0,448005.74,0
1,230657.1,0.0,542781.75,0
0,23350.16,44299.16,153638.44,0
1,336038.56,0.0,1053545.02,0
1,193144.29,0.0,409075.77,0
1,154499.09,0.0,996480.63,0
0,50408.95,3010660.55,145208.97,0
1,127742.57,0.0,285802.68,0
3,24098215.74,0.0,63652349.67,0
0,49648.58,11609608.48,667.81,0
0,127420.97,7897855.05,41034.94,0
1,298532.87,0.0,1058683.27,0
0,100503.17,2787991.36,944179.57,0
1,52739.25,0.0,2826818.62,0
3,419985.87,0.0,3990410.52,0
0,67086.54,4757530.49,1073564.23,0
0,336856.18,6640024.87,3423256.37,0
1,82909.17,0.0,82909.17,0
0,152976.32,3734373.7,10209343.7,0
3,67978.27,0.0,1410283.99,0
0,64697.93,1909785.89,50370.07,0
1,49460.0,0.0,751248.16,0
1,181469.31,0.0,753846.75,0
1,265963.39,0.0,265963.39,0
1,53199.27,61641.73,53199.27,0
2,1994.73,33174.27,132700.03,0
1,384837.48,0.0,1162012.6,0
0,45517.02,6772904.11,446971.47,0
0,205773.21,3181480.63,460336.41,0
0,118186.66,24606845.94,162456.74,0
0,32605.71,8180455.4,18172.81,0
1,463236.96,0.0,463236.96,0
3,540154.56,0.0,2778032.51,0
0,254010.43,3182249.41,2272965.59,0
1,236593.09,0.0,236593.09,0
1,52304.99,0.0,2307787.37,0
1,42586.5,0.0,683249.09,0
1,149457.08,0.0,152387.18,0
1,181861.37,0.0,730884.01,0
1,18315.26,32737.74,2138004.95,0
1,260802.69,0.0,2641556.52,0
1,381273.55,0.0,491749.26,0
0,17736.18,31481.18,181045.26,0
0,113683.9,3198753.43,288859.93,0
1,130981.28,0.0,4071727.98,0
1,21016.61,0.0,2788520.76,0
1,128037.56,0.0,282538.75,0
1,364331.57,0.0,823962.96,0
0,233472.16,1282201.91,271778.4,0
0,273536.51,13725113.33,861080.18,0
1,422796.04,0.0,662269.16,0
1,90192.24,0.0,241365.3,0
1,261249.62,0.0,271072.91,0
0,22044.18,177159.18,377717.21,0
0,93684.13,143829.13,289311.33,0
1,82037.28,0.0,1293745.7,0
1,19808.29,98772.71,2079685.14,0
1,146149.14,0.0,154157.24,0
1,138487.19,0.0,1744587.63,0
0,202941.29,209976.74,511510.74,0
1,460287.12,0.0,1361338.23,0
1,52758.79,14897.21,195582.41,0
0,283353.8,6824789.22,507498.82,0
1,123551.28,0.0,520021.16,0
0,257398.76,5044955.33,180719.39,0
0,188065.52,199674.52,35325063.72,0
1,48774.65,0.0,819234.1,0
1,314825.66,0.0,314825.66,0
1,42013.23,0.0,221752.98,0
0,9013.51,10889029.53,5798552.06,0
1,118220.71,0.0,1359164.46,0
1,61527.91,0.0,145750.8,0
3,1765671.15,0.0,1765671.15,0
0,228580.95,319588.5,1307782.96,0
1,207654.5,0.0,207654.5,0
0,189138.6,18946785.44,1609335.32,0
3,625789.19,0.0,640015.41,0
1,73115.32,0.0,4224226.75,0
1,89285.57,0.0,862741.54,0
1,51965.28,0.0,871897.21,0
3,994983.42,0.0,994983.42,0
3,505238.47,0.0,1653317.81,0
1,2428.37,0.0,2428.37,0
1,359878.22,0.0,1185188.74,0
1,151159.07,0.0,1036085.88,0
1,178150.95,0.0,501699.23,0
1,8830.35,6547.65,142127.34,0
1,209616.36,114689.64,660444.67,0
1,417293.16,0.0,877373.52,0
1,214906.61,0.0,483007.22,0
0,287016.37,318870.37,3050563.56,0
3,651510.11,0.0,4716342.56,0
3,17915.56,0.0,1546248.69,0
1,124489.73,0.0,3455199.28,0
1,10253.57,0.0,795909.79,0
1,321275.71,0.0,21514262.52,0
1,169346.96,0.0,541711.41,0
1,182456.86,0.0,851831.14,0
1,228277.07,0.0,228277.07,0
0,457754.7,5635979.84,2380387.64,0
1,89914.13,0.0,1377574.31,0
1,173935.08,0.0,1389215.37,0
1,257230.94,0.0,380988.83,0
1,288373.16,0.0,1813486.85,0
1,122700.27,0.0,122700.27,0
0,9449.85,2743712.38,1156251.47,0
1,109587.81,0.0,304240.93,0
0,247434.35,297005.35,126283.98,0
1,245073.76,0.0,245073.76,0
1,83428.14,0.0,2172271.19,0
0,45822.71,1227529.82,19288.52,0
0,78267.74,9324228.45,5498068.89,0
3,67613.45,0.0,158633.57,0
3,260112.68,0.0,5933488.4,0
3,726376.35,0.0,1521466.6,0
3,337403.4,0.0,1990643.49,0
1,38690.77,0.0,55651.36,0
1,91023.88,0.0,1681859.27,0
3,15544.4,0.0,1760774.66,0
1,173519.33,0.0,173519.33,0
1,273881.19,0.0,273881.19,0
1,49762.85,0.0,269361.11,0
0,155672.76,23548589.19,538630.35,0
1,113935.18,0.0,6500318.9,0
1,403203.74,0.0,948465.25,0
1,721956.03,0.0,1409116.34,0
3,600691.45,0.0,3014439.89,0
1,158728.11,0.0,736106.59,0
0,223926.55,8205150.56,1357940.05,0
0,150319.23,1787406.7,1771875.37,0
3,381087.57,0.0,1276706.35,0
3,66813.75,0.0,303130.63,0
1,76585.77,0.0,76585.77,0
0,98650.88,8276023.01,1308.12,0
0,166374.95,3850358.61,967980.54,0
0,28554.99,739400.53,43373.13,0
0,390663.16,4119129.14,1419533.33,0
3,2494813.43,0.0,2633371.2,0
1,279400.41,0.0,1655998.44,0
0,369559.51,2360402.51,6080626.33,0
1,56077.52,0.0,143077.19,0
0,146500.12,27280245.4,566306.41,0
3,876011.49,0.0,2604072.12,0
0,62642.46,7837267.14,80323.58,0
3,1405457.38,0.0,2844071.7,0
1,154994.36,0.0,4031655.26,0
0,14399.0,31140.0,132653.89,0
0,180265.67,779581.61,274927.98,0
1,370863.1,0.0,843826.91,0
0,135395.87,5009048.48,34582.9,0
1,180122.77,0.0,381325.6,0
0,376539.23,392336.23,427549.11,0
1,149828.62,0.0,149828.62,0
0,19903.97,18179247.07,362165.36,0
0,215420.54,6514737.94,1783993.15,0
0,405862.33,8151312.4,20492.36,0
1,160309.27,0.0,743737.16,0
1,164900.6,0.0,164900.6,0
0,58501.69,7297580.47,2869639.72,0
0,46333.55,5889998.59,195566.45,0
0,128432.3,1759980.99,129224.95,0
1,10511.56,0.0,415815.14,0
0,11168.53,7506470.3,125442.39,0
1,143356.06,0.0,1415612.29,0
1,60119.32,0.0,1427643.37,0
0,269213.04,4106496.49,570926.56,0
1,240228.99,0.0,1437723.79,0
0,365194.84,949781.46,11415788.34,0
1,324318.78,0.0,1152815.94,0
1,138629.1,0.0,4807057.12,0
1,128940.62,0.0,1280644.49,0
3,1680154.73,0.0,4157469.62,0
3,208618.73,0.0,208618.73,0
1,233957.67,0.0,562405.19,0
1,125692.52,0.0,125692.52,0
0,178962.62,3095925.26,1109405.02,0
0,209969.27,4989572.35,4833979.11,0
1,175802.53,0.0,175802.53,0
3,817051.47,0.0,2873873.23,0
1,375170.35,0.0,1860631.64,0
3,1077287.5,0.0,3578592.22,0
1,229685.53,0.0,651929.05,0
1,425890.12,0.0,7026390.88,0
0,71478.59,121081.59,178606.75,0
1,409603.53,0.0,521185.32,0
1,87790.86,0.0,377387.19,0
1,196223.99,0.0,656909.71,0
0,37130.02,137000.02,5192249.75,0
1,367318.34,0.0,913942.86,0
1,102233.53,0.0,1536984.53,0
1,175608.53,0.0,240674.33,0
1,209084.92,0.0,2331168.79,0
1,42305.73,0.0,571071.95,0
1,244794.35,0.0,314138.86,0
0,181829.14,202588.14,1753012.21,0
1,128828.98,0.0,1041826.36,0
3,1481963.24,0.0,1481963.24,0
0,310159.05,320065.05,241386.85,0
1,382816.72,0.0,1017935.2,0
3,332600.61,0.0,718816.71,0
0,94257.88,3414214.54,28271.35,0
1,136205.54,0.0,435571.71,0
1,66328.32,0.0,1283243.36,0
0,186636.0,3040241.62,378126.69,0
1,210974.42,0.0,3310170.54,0
0,34762.07,12534902.56,13144161.14,0
0,425749.04,581961.48,442231.49,0
1,24454.12,0.0,299713.2,0
0,81166.68,3587159.32,1165078.97,0
1,341830.49,0.0,1274202.72,0
1,258885.77,0.0,589645.89,0
3,855132.99,0.0,6009234.74,0
1,208729.66,0.0,947418.9,0
1,485910.45,0.0,1092908.5,0
0,596071.22,1988041.03,451965.29,0
0,132566.19,457044.19,1996859.95,0
1,677230.27,0.0,677230.27,0
0,100068.75,1273833.14,489365.3,0
0,136576.66,6875950.64,3633986.22,0
1,149906.98,0.0,1451356.67,0
0,108082.61,11617322.58,253648.83,0
1,228514.48,0.0,234601.0,0
1,192560.35,0.0,461456.65,0
3,670003.0,0.0,1420378.72,0
1,432424.81,0.0,1617545.52,0
1,54281.89,0.0,241346.15,0
3,279716.48,0.0,1362314.79,0
1,437612.92,0.0,1988429.74,0
1,252402.78,0.0,507257.42,0
1,193244.9,0.0,822889.11,0
2,2238.74,49341.26,1219723.51,0
0,37305.46,57136.46,3438.39,0
1,361950.42,0.0,385279.5,0
0,54752.91,74580.91,6222362.13,0
1,92367.22,0.0,274576.67,0
3,514984.22,0.0,4427026.53,0
0,142454.49,166452.49,512560.27,0
1,90385.71,0.0,117010.91,0
0,280299.21,5404452.98,886666.13,0
0,222588.87,1179514.53,844375.63,0
0,356544.13,1397089.26,1088715.01,0
1,322605.5,0.0,613922.57,0
1,216575.4,0.0,839542.16,0
1,557.03,10495.97,32126.09,0
1,315550.84,0.0,876121.48,0
1,68004.56,0.0,916261.63,0
3,683890.65,0.0,2735528.73,0
0,129335.28,33088475.95,1678596.56,0
1,333964.72,0.0,25703243.2,0
1,213744.51,0.0,1479357.07,0
1,256342.58,0.0,5629945.44,0
0,98237.37,3406988.04,6596115.13,0
0,281361.14,8336635.59,71375.07,0
3,48145.78,267706.7,856333.89,0
1,366424.55,0.0,366424.55,0
1,255032.11,0.0,1540703.35,0
3,134797.37,0.0,760069.37,0
0,129572.32,130224.32,1910714.05,0
3,126752.43,0.0,647189.94,0
1,145495.5,197277.77,327703.94,0
1,139572.72,0.0,607142.49,0
1,146197.84,0.0,708463.2,0
0,267671.98,267671.98,15505523.11,0
3,59575.87,0.0,875375.14,0
0,27347.85,131076.85,184125.85,0
1,252736.5,0.0,712684.18,0
1,59062.53,0.0,2381314.7,0
1,223850.32,0.0,609452.45,0
1,125494.23,0.0,5301551.04,0
1,16327.24,0.0,462109.05,0
0,212383.23,218936.23,330693.43,0
2,1461.44,0.0,536515.89,0
0,55055.77,91188.77,1297609.96,0
1,239539.84,0.0,298586.7,0
1,293620.0,0.0,293620.0,0
0,73154.55,28326493.54,612393.23,0
0,347.49,21903.49,355424.46,0
3,892406.0,0.0,4080016.71,0
1,199762.82,0.0,592135.4,0
1,41769.14,0.0,1920126.93,0
1,85317.99,0.0,246424.81,0
1,131308.73,0.0,540366.83,0
0,236605.63,256285.63,889795.8,0
3,2680993.51,0.0,9240584.21,0
0,270437.27,578301.27,3636444.01,0
1,206042.58,563939.42,206928.33,0
0,292069.75,292411.75,137623.83,0
1,241567.74,0.0,3490361.93,0
0,11914.64,11260854.61,412096.91,0
1,16133.02,0.0,96992.0,0
1,100148.13,0.0,100148.13,0
1,119063.34,0.0,249564.44,0
0,173366.75,3783071.29,7616.73,0
1,285061.66,0.0,718995.07,0
0,24854.86,29033.86,60231.44,0
1,209983.76,0.0,754189.74,0
1,84437.52,6839.48,226537.27,0
0,258217.88,349723.88,740062.93,0
1,262682.54,0.0,262682.54,0
1,68974.57,0.0,148977.86,0
0,112817.47,8611803.98,220433.67,0
1,93343.43,0.0,220101.34,0
1,20319.15,0.0,435189.77,0
0,204653.33,2545753.96,1009445.01,0
0,16079.17,2563969.8,6786142.4,0
1,87810.2,0.0,318428.16,0
0,133668.76,1684711.14,224650.48,0
0,355658.45,3624641.12,2539020.41,0
1,74869.77,0.0,256853.2,0
1,90916.36,437464.08,153934.11,0
1,300040.44,0.0,610859.41,0
1,276059.66,0.0,664646.47,0
3,254956.7,0.0,1412132.41,0
1,248849.65,0.0,2440924.21,0
0,79944.6,12633723.45,2004015.7,0
1,89249.96,0.0,667821.7,0
1,280346.34,0.0,280346.34,0
1,362806.14,0.0,285947.37,0
0,321118.48,22555603.54,419700.02,0
1,157158.96,0.0,1155435.35,0
1,112650.41,81001.59,1600245.48,0
1,12240.37,238130.63,12240.37,0
0,116939.79,137072.79,4192145.35,0
1,230643.27,0.0,4517502.38,0
3,700073.24,0.0,1587056.87,0
0,78056.75,2280067.5,736533.82,0
3,20457.38,0.0,20457.38,0
0,141498.63,928021.39,79794.27,0
1,128889.36,0.0,128889.36,0
1,79110.6,0.0,421144.66,0
1,136028.92,0.0,452235.46,0
1,286176.48,0.0,5882068.76,0
1,174409.3,0.0,562658.96,0
1,262408.36,0.0,772772.26,0
0,163126.86,9952628.01,1456817.65,0
3,3794980.55,0.0,7025009.03,0
3,251907.96,0.0,681266.32,0
1,269034.49,0.0,22691904.0,0
1,226435.76,0.0,2006146.79,0
3,121727.87,0.0,866118.22,0
1,198211.1,0.0,198211.1,0
1,20865.34,11041.66,24499403.11,0
0,349766.1,8774651.48,1049062.25,0
1,285973.93,0.0,2457691.83,0
1,40812.88,0.0,1543464.01,0
1,58900.81,0.0,652122.06,0
1,73154.07,0.0,73154.07,0
1,76926.15,0.0,10896433.48,0
1,91863.32,0.0,772880.07,0
1,215775.48,0.0,670106.66,0
1,567028.32,0.0,961125.64,0
3,100776.0,0.0,396250.93,0
1,36992.04,0.0,700681.9,0
0,182069.15,732193.15,1246910.15,0
1,534151.55,0.0,3206087.5,0
0,79058.85,7510572.31,1359946.01,0
1,26880.99,0.0,2670836.36,0
0,134166.44,1053199.84,2080822.57,0
0,41546.77,649316.66,42836.02,0
0,359186.23,2594920.15,172395.25,0
0,123002.1,483067.53,1737669.7,0
3,2115838.09,0.0,2115838.09,0
1,223322.85,0.0,494527.35,0
3,180924.92,0.0,180924.92,0
3,393317.79,0.0,393317.79,0
3,51622.01,0.0,736217.0,0
0,207719.36,247900.91,248734.44,0
1,239121.17,0.0,239121.17,0
0,271717.05,360926.05,6017371.15,0
0,163255.21,8857556.1,4686231.85,0
3,1901224.15,0.0,2279797.46,0
0,207614.5,315588.5,6008364.31,0
1,304116.08,0.0,1615961.92,0
0,31246.45,9909160.09,185959.73,0
3,2339326.08,0.0,8075561.64,0
0,43799.22,8954100.88,148126.66,0
1,138035.91,0.0,3039150.76,0
1,211104.55,0.0,470869.11,0
1,87597.92,0.0,161007.15,0
1,36723.34,0.0,5075282.76,0
1,272357.26,0.0,4878407.63,0
0,271169.72,11122572.97,9672280.71,0
3,223535.99,0.0,3569645.23,0
1,54254.25,0.0,303863.05,0
3,1022571.65,0.0,5896440.41,0
1,84760.71,0.0,454474.91,0
0,164902.48,3373015.99,4668335.21,0
1,154941.31,0.0,724612.9,0
0,3830.74,6908982.16,95829.17,0
0,6206.6,3167757.18,29203.55,0
0,126779.72,954217.89,691081.74,0
1,64095.85,0.0,1191355.3,0
0,232088.78,240088.78,407453.22,0
1,73442.68,0.0,1212401.06,0
1,239690.98,0.0,586425.59,0
1,318856.58,0.0,2235493.46,0
0,265105.77,266674.77,8946956.47,0
1,9206.67,0.0,1872848.95,0
0,160927.56,188864.56,42049.02,0
1,261348.57,0.0,641517.74,0
1,517110.58,0.0,802416.18,0
0,362861.94,5787073.69,234272.44,0
1,113658.29,0.0,1507685.03,0
3,794299.73,0.0,6705776.4,0
0,175160.93,6637318.3,208777.61,0
1,186821.81,0.0,557648.67,0
0,1170.39,3962859.42,3032.84,0
1,34651.89,146342.52,181949.14,0
0,91824.21,4320609.99,88430.28,0
3,846601.28,0.0,846601.28,0
1,89005.13,0.0,89005.13,0
1,138690.83,0.0,11301516.01,0
1,68464.45,0.0,147396.46,0
0,84592.63,130151.38,9062408.7,0
1,274552.79,0.0,352394.17,0
1,621783.14,0.0,621783.14,0
1,13603.17,0.0,13603.17,0
1,151490.24,0.0,325440.69,0
3,312080.73,0.0,396388.66,0
0,53204.26,163046.26,2590003.06,0
0,387102.38,7679756.97,638444.24,0
1,480923.9,0.0,6114462.59,0
1,120436.03,0.0,1025833.88,0
1,407668.47,0.0,836885.7,0
1,52418.19,0.0,120340.73,0
1,100088.15,123759.85,100088.15,0
3,55588.77,272235.23,664815.03,0
1,38700.0,0.0,5047906.06,0
